uid,word,status,reviewedAt
"dev-user","agenda","review","2026-04-09T14:53:21.4167128Z"
"dev-user","geography","known","2026-04-10T15:00:04.478Z"
"dev-user","ethnography","known","2026-04-10T15:00:04.478Z"
"dev-user","Cosmography","known","2026-04-10T15:00:04.478Z"
"dev-user","geology","known","2026-04-10T15:00:04.478Z"
"dev-user","toponymy","known","2026-04-10T15:00:04.478Z"
"dev-user","oceanography","known","2026-04-10T15:00:04.478Z"
"dev-user","vegetation","known","2026-04-10T15:00:04.478Z"
"dev-user","relief","known","2026-04-10T15:00:04.478Z"
"dev-user","continent","known","2026-04-10T15:00:04.478Z"
"dev-user","archipelago","known","2026-04-10T15:00:04.478Z"
